A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Mr. Vyse,Lucy,1104,1105,i never do play tennis i never could play i don t understand a word you say,you can play well enough to make up a four i thought it abominably selfish of you,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1105,1106,you can play well enough to make up a four i thought it abominably selfish of you,no i can t well never mind the tennis why couldn t you couldn t you have warned me if you felt anything wrong you talked of our wedding at lunch at least you let me talk,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1106,1107,no i can t well never mind the tennis why couldn t you couldn t you have warned me if you felt anything wrong you talked of our wedding at lunch at least you let me talk,i knew you wouldn t understand i might have known there would have been these dreadful explanations of course it isn t the tennis that was only the last straw to all i have been feeling for weeks surely it was better not to speak until i felt certain often before i have wondered if i was fitted for your wife for instance in london and are you fitted to be my husband i don t think so you don t like freddy nor my mother there was always a lot against our engagement cecil but all our relations seemed pleased and we met so often and it was no good mentioning it until well until all things came to a point they have to day i see clearly i must speak that s all,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1107,1108,i knew you wouldn t understand i might have known there would have been these dreadful explanations of course it isn t the tennis that was only the last straw to all i have been feeling for weeks surely it was better not to speak until i felt certain often before i have wondered if i was fitted for your wife for instance in london and are you fitted to be my husband i don t think so you don t like freddy nor my mother there was always a lot against our engagement cecil but all our relations seemed pleased and we met so often and it was no good mentioning it until well until all things came to a point they have to day i see clearly i must speak that s all,i cannot think you were right i cannot tell why but though all that you say sounds true i feel that you are not treating me fairly it s all too horrible,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1108,1109,i cannot think you were right i cannot tell why but though all that you say sounds true i feel that you are not treating me fairly it s all too horrible,what s the good of a scene,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1109,1110,what s the good of a scene,no good but surely i have a right to hear a little more,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1110,1111,no good but surely i have a right to hear a little more,don t open the window and you d better draw the curtain too freddy or any one might be outside i really think we had better go to bed if you don t mind i shall only say things that will make me unhappy afterwards as you say it is all too horrible and it is no good talking,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1111,1112,don t open the window and you d better draw the curtain too freddy or any one might be outside i really think we had better go to bed if you don t mind i shall only say things that will make me unhappy afterwards as you say it is all too horrible and it is no good talking,but i love you and i did think you loved me,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1112,1113,but i love you and i did think you loved me,i did not i thought i did at first i am sorry and ought to have refused you this last time too,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1113,1114,i did not i thought i did at first i am sorry and ought to have refused you this last time too,you don t love me evidently i dare say you are right not to but it would hurt a little less if i knew why,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1114,1115,you don t love me evidently i dare say you are right not to but it would hurt a little less if i knew why,because you re the sort who can t know any one intimately i don t mean exactly that but you will question me though i beg you not to and i must say something it is that more or less when we were only acquaintances you let me be myself but now you re always protecting me i won t be protected i will choose for myself what is ladylike and right to shield me is an insult can t i be trusted to face the truth but i must get it second hand through you a woman s place you despise my mother i know you do because she s conventional and bothers over puddings but oh goodness conventional cecil you re that for you may understand beautiful things but you don t know how to use them and you wrap yourself up in art and books and music and would try to wrap up me i won t be stifled not by the most glorious music for people are more glorious and you hide them from me that s why i break off my engagement you were all right as long as you kept to things but when you came to people,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1115,1116,because you re the sort who can t know any one intimately i don t mean exactly that but you will question me though i beg you not to and i must say something it is that more or less when we were only acquaintances you let me be myself but now you re always protecting me i won t be protected i will choose for myself what is ladylike and right to shield me is an insult can t i be trusted to face the truth but i must get it second hand through you a woman s place you despise my mother i know you do because she s conventional and bothers over puddings but oh goodness conventional cecil you re that for you may understand beautiful things but you don t know how to use them and you wrap yourself up in art and books and music and would try to wrap up me i won t be stifled not by the most glorious music for people are more glorious and you hide them from me that s why i break off my engagement you were all right as long as you kept to things but when you came to people,it is true,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1116,1117,it is true,true on the whole,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1117,1118,true on the whole,true every word it is a revelation it is i,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1118,1119,true every word it is a revelation it is i,anyhow those are my reasons for not being your wife,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1119,1120,anyhow those are my reasons for not being your wife,it is true i fell to pieces the very first day we were engaged i behaved like a cad to beebe and to your brother you are even greater than i thought i m not going to worry you you are far too good to me i shall never forget your insight and dear i only blame you for this you might have warned me in the early stages before you felt you wouldn t marry me and so have given me a chance to improve i have never known you till this evening i have just used you as a peg for my silly notions of what a woman should be but this evening you are a different person new thoughts even a new voice,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1120,1121,it is true i fell to pieces the very first day we were engaged i behaved like a cad to beebe and to your brother you are even greater than i thought i m not going to worry you you are far too good to me i shall never forget your insight and dear i only blame you for this you might have warned me in the early stages before you felt you wouldn t marry me and so have given me a chance to improve i have never known you till this evening i have just used you as a peg for my silly notions of what a woman should be but this evening you are a different person new thoughts even a new voice,what do you mean by a new voice,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1121,1122,what do you mean by a new voice,i mean that a new person seems speaking through you,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1122,1123,i mean that a new person seems speaking through you,if you think i am in love with someone else you are very much mistaken,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1123,1124,if you think i am in love with someone else you are very much mistaken,of course i don t think that you are not that kind lucy,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1124,1125,of course i don t think that you are not that kind lucy,oh yes you do think it it s your old idea the idea that has kept europe back i mean the idea that women are always thinking of men if a girl breaks off her engagement everyone says it s disgusting brutal as if a girl can t break it off for the sake of freedom,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1125,1126,oh yes you do think it it s your old idea the idea that has kept europe back i mean the idea that women are always thinking of men if a girl breaks off her engagement everyone says it s disgusting brutal as if a girl can t break it off for the sake of freedom,i may have said that in the past i shall never say it again you have taught me better of course there is no question of someone else in this no jilting or any such nauseous stupidity i beg your pardon most humbly if my words suggested that there was i only meant that there was a force in you that i hadn t known of up till now,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1126,1127,i may have said that in the past i shall never say it again you have taught me better of course there is no question of someone else in this no jilting or any such nauseous stupidity i beg your pardon most humbly if my words suggested that there was i only meant that there was a force in you that i hadn t known of up till now,all right cecil that will do don t apologize to me it was my mistake,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1127,1128,all right cecil that will do don t apologize to me it was my mistake,it is a question between ideals yours and mine pure abstract ideals and yours are the nobler i was bound up in the old vicious notions and all the time you were splendid and new i must actually thank you for what you have done for showing me what i really am solemnly i thank you for showing me a true woman will you shake hands,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1128,1129,it is a question between ideals yours and mine pure abstract ideals and yours are the nobler i was bound up in the old vicious notions and all the time you were splendid and new i must actually thank you for what you have done for showing me what i really am solemnly i thank you for showing me a true woman will you shake hands,of course i will good night cecil good bye that s all right i m sorry about it thank you very much for your gentleness,Lucy,M,intermediate,,
Lucy,Mr. Vyse,1129,1130,of course i will good night cecil good bye that s all right i m sorry about it thank you very much for your gentleness,let me light your candle shall i thank you good night again god bless you lucy,Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1130,1131,let me light your candle shall i thank you good night again god bless you lucy,good bye cecil,Lucy,M,intermediate,,
Mr. Beebe,Mr. Vyse,1132,1133,so you re off for a minute mr vyse,yes,Freddy; Mr. Vyse,M,major,M,intermediate
Mr. Vyse,Mr. Beebe,1133,1134,yes,i was coming to show you this delightful letter from those friends of miss honeychurch isn t it wonderful isn t it romance most certainly they will go to constantinople they are taken in a snare that cannot fail they will end by going round the world isn t romance capricious i never notice it in you young people you do nothing but play lawn tennis and say that romance is dead while the miss alans are struggling with all the weapons of propriety against the terrible thing so they call it out of decency but in their hearts they want a pension with magic windows opening on the foam of perilous seas in fairyland forlorn no ordinary view will content the miss alans they want the pension keats,Freddy; Mr. Beebe,M,intermediate,M,major
Mr. Beebe,Freddy,1134,1135,i was coming to show you this delightful letter from those friends of miss honeychurch isn t it wonderful isn t it romance most certainly they will go to constantinople they are taken in a snare that cannot fail they will end by going round the world isn t romance capricious i never notice it in you young people you do nothing but play lawn tennis and say that romance is dead while the miss alans are struggling with all the weapons of propriety against the terrible thing so they call it out of decency but in their hearts they want a pension with magic windows opening on the foam of perilous seas in fairyland forlorn no ordinary view will content the miss alans they want the pension keats,i m awfully sorry to interrupt mr beebe but have you any matches,Freddy; Mr. Vyse,M,major,M,intermediate
Freddy,Mr. Vyse,1135,1136,i m awfully sorry to interrupt mr beebe but have you any matches,i have,Mr. Beebe; Mr. Vyse,M,intermediate,M,intermediate
Mr. Vyse,Mr. Beebe,1136,1137,i have,you have never met these miss alans have you mr vyse,Freddy; Mr. Beebe,M,intermediate,M,major
Mr. Beebe,Mr. Vyse,1137,1138,you have never met these miss alans have you mr vyse,never,Freddy; Mr. Vyse,M,major,M,intermediate
Mr. Vyse,Mr. Beebe,1138,1139,never,then you don t see the wonder of this greek visit i haven t been to greece myself and don t mean to go and i can t imagine any of my friends going it is altogether too big for our little lot don t you think so italy is just about as much as we can manage italy is heroic but greece is godlike or devilish i am not sure which and in either case absolutely out of our suburban focus all right freddy i am not being clever upon my word i am not i took the idea from another fellow and give me those matches when you ve done with them i was saying if our poor little cockney lives must have a background let it be italian big enough in all conscience the ceiling of the sistine chapel for me there the contrast is just as much as i can realize but not the parthenon not the frieze of phidias at any price and here comes the victoria,Freddy; Mr. Beebe,M,intermediate,M,major
Mr. Beebe,Mr. Vyse,1139,1140,then you don t see the wonder of this greek visit i haven t been to greece myself and don t mean to go and i can t imagine any of my friends going it is altogether too big for our little lot don t you think so italy is just about as much as we can manage italy is heroic but greece is godlike or devilish i am not sure which and in either case absolutely out of our suburban focus all right freddy i am not being clever upon my word i am not i took the idea from another fellow and give me those matches when you ve done with them i was saying if our poor little cockney lives must have a background let it be italian big enough in all conscience the ceiling of the sistine chapel for me there the contrast is just as much as i can realize but not the parthenon not the frieze of phidias at any price and here comes the victoria,you re quite right greece is not for our little lot,Freddy; Mr. Vyse,M,major,M,intermediate
Mr. Vyse,Freddy,1140,1141,you re quite right greece is not for our little lot,i m so glad you only talked about books cecil s hard hit lucy won t marry him if you d gone on about her as you did about them he might have broken down,Freddy; Mr. Beebe,M,intermediate,M,intermediate
Freddy,Mr. Beebe,1141,1142,i m so glad you only talked about books cecil s hard hit lucy won t marry him if you d gone on about her as you did about them he might have broken down,but when,Mr. Beebe,M,intermediate,M,major
Mr. Beebe,Freddy,1142,1143,but when,late last night i must go,Freddy,M,major,M,intermediate
Freddy,Mr. Beebe,1143,1144,late last night i must go,perhaps they won t want me down there,Mr. Beebe,M,intermediate,M,major
Mr. Beebe,Freddy,1144,1145,perhaps they won t want me down there,no go on good bye,Freddy,M,major,M,intermediate
Freddy,Mr. Beebe,1145,1146,no go on good bye,thank goodness it was the one foolish thing she ever did oh what a glorious riddance,Mr. Beebe,M,intermediate,M,major
Mrs. Honeychurch,Miss Bartlett,1147,1148,oh how do you do mr beebe gracious what a mess everything is look at my scarlet pompoms and the wind blowing your skirts about and the ground so hard that not a prop will stick in and then the carriage having to go out when i had counted on having powell who give every one their due does tie up dahlias properly,how do you do,Lennie; Minnie Beebe; Miss Bartlett; Mr. Beebe,F,major,F,major
Miss Bartlett,Mrs. Honeychurch,1148,1149,how do you do,here lennie the bass,Lennie; Minnie Beebe; Mr. Beebe; Mrs. Honeychurch,F,major,F,major
Mrs. Honeychurch,Mr. Beebe,1149,1150,here lennie the bass,come for a walk with me you have worried them as much as they can stand mrs honeychurch i only called in aimlessly i shall take her up to tea at the beehive tavern if i may,Lennie; Minnie Beebe; Miss Bartlett; Mr. Beebe,F,major,M,major
Mr. Beebe,Mrs. Honeychurch,1150,1151,come for a walk with me you have worried them as much as they can stand mrs honeychurch i only called in aimlessly i shall take her up to tea at the beehive tavern if i may,oh must you yes do not the scissors thank you charlotte when both my hands are full already i m perfectly certain that the orange cactus will go before i can get to it yes charlotte i don t want you do go there s nothing to stop about for either in the house or out of it,Lennie; Minnie Beebe; Miss Bartlett; Mrs. Honeychurch,M,major,F,major
Mrs. Honeychurch,Mr. Beebe,1151,1152,oh must you yes do not the scissors thank you charlotte when both my hands are full already i m perfectly certain that the orange cactus will go before i can get to it yes charlotte i don t want you do go there s nothing to stop about for either in the house or out of it,it is terrible this havoc among the flowers,Lennie; Minnie Beebe; Miss Bartlett; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1152,1153,it is terrible this havoc among the flowers,it is always terrible when the promise of months is destroyed in a moment,Minnie Beebe; Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1153,1154,it is always terrible when the promise of months is destroyed in a moment,perhaps we ought to send miss honeychurch down to her mother or will she come with us,Minnie Beebe; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1154,1155,perhaps we ought to send miss honeychurch down to her mother or will she come with us,i think we had better leave lucy to herself and to her own pursuits,Minnie Beebe; Miss Bartlett,M,major,F,major
Miss Bartlett,Minnie Beebe,1155,1156,i think we had better leave lucy to herself and to her own pursuits,they re angry with miss honeychurch because she was late for breakfast and floyd has gone and mr vyse has gone and freddy won t play with me in fact uncle arthur the house is not at all what it was yesterday,Minnie Beebe; Mr. Beebe,F,major,F,minor
Minnie Beebe,Mr. Beebe,1156,1157,they re angry with miss honeychurch because she was late for breakfast and floyd has gone and mr vyse has gone and freddy won t play with me in fact uncle arthur the house is not at all what it was yesterday,don t be a prig go and put on your boots,Mr. Beebe,F,minor,M,major
Mr. Beebe,Lucy,1158,1159,how do you do miss bartlett and minnie are coming with me to tea at the beehive would you come too,i don t think i will thank you,Lucy,M,major,,
Lucy,Mr. Beebe,1159,1160,i don t think i will thank you,no i didn t suppose you would care to much how delicate those sonatas are miss honeychurch,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1160,1161,no i didn t suppose you would care to much how delicate those sonatas are miss honeychurch,yes,Lucy,M,major,,
Lucy,Mr. Beebe,1161,1162,yes,i met them on the hill your brother told me,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1162,1163,i met them on the hill your brother told me,oh he did,Lucy,M,major,,
Lucy,Mr. Beebe,1163,1164,oh he did,i needn t say that it will go no further,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1164,1165,i needn t say that it will go no further,mother charlotte cecil freddy you,Lucy,M,major,,
Lucy,Mr. Beebe,1165,1166,mother charlotte cecil freddy you,if you ll let me say so i am very glad and i am certain that you have done the right thing,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1166,1167,if you ll let me say so i am very glad and i am certain that you have done the right thing,so i hoped other people would think but they don t seem to,Lucy,M,major,,
Lucy,Mr. Beebe,1167,1168,so i hoped other people would think but they don t seem to,i could see that miss bartlett thought it unwise,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1168,1169,i could see that miss bartlett thought it unwise,so does mother mother minds dreadfully,Lucy,M,major,,
Lucy,Mr. Beebe,1169,1170,so does mother mother minds dreadfully,i am very sorry for that,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1170,1171,i am very sorry for that,and freddy minds,Lucy,M,major,,
Lucy,Mr. Beebe,1171,1172,and freddy minds,still freddy never hit it off with vyse much did he i gathered that he disliked the engagement and felt it might separate him from you,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1172,1173,still freddy never hit it off with vyse much did he i gathered that he disliked the engagement and felt it might separate him from you,boys are so odd,Lucy,M,major,,
Lucy,Mr. Beebe,1173,1174,boys are so odd,i have had an absurd letter from miss alan that was really what brought me over i thought it might amuse you all,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1174,1175,i have had an absurd letter from miss alan that was really what brought me over i thought it might amuse you all,how delightful going abroad when do they start,Lucy,M,major,,
Lucy,Mr. Beebe,1175,1176,how delightful going abroad when do they start,next week i gather,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1176,1177,next week i gather,did freddy say whether he was driving straight back,Lucy,M,major,,
Lucy,Mr. Beebe,1177,1178,did freddy say whether he was driving straight back,no he didn t,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1178,1179,no he didn t,because i do hope he won t go gossiping oh do tell me more about the miss alans how perfectly splendid of them to go abroad,Lucy,M,major,,
Lucy,Mr. Beebe,1179,1180,because i do hope he won t go gossiping oh do tell me more about the miss alans how perfectly splendid of them to go abroad,i want them to start from venice and go in a cargo steamer down the illyrian coast,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1180,1181,i want them to start from venice and go in a cargo steamer down the illyrian coast,oh delightful i wish they d take me,Lucy,M,major,,
Lucy,Mr. Beebe,1181,1182,oh delightful i wish they d take me,has italy filled you with the fever of travel perhaps george emerson is right he says that,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1182,1183,has italy filled you with the fever of travel perhaps george emerson is right he says that,oh not italy but constantinople i have always longed to go to constantinople constantinople is practically asia isn t it,Lucy,M,major,,
Lucy,Mr. Beebe,1183,1184,oh not italy but constantinople i have always longed to go to constantinople constantinople is practically asia isn t it,with delphi perhaps if the roads are safe i didn t realize that you and the miss alans were still such friends after cissie villa,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1184,1185,with delphi perhaps if the roads are safe i didn t realize that you and the miss alans were still such friends after cissie villa,oh that s nothing i assure you cissie villa s nothing to me i would give anything to go with them,Lucy,M,major,,
Lucy,Mr. Beebe,1185,1186,oh that s nothing i assure you cissie villa s nothing to me i would give anything to go with them,would your mother spare you again so soon you have scarcely been home three months,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1186,1187,would your mother spare you again so soon you have scarcely been home three months,she must spare me i simply must go away i have to don t you see that i have to go away i didn t realize at the time and of course i want to see constantinople so particularly,Lucy,M,major,,
Lucy,Mr. Beebe,1187,1188,she must spare me i simply must go away i have to don t you see that i have to go away i didn t realize at the time and of course i want to see constantinople so particularly,you mean that since you have broken off your engagement you feel,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1188,1189,you mean that since you have broken off your engagement you feel,yes yes i knew you d understand yes of course to go to constantinople until they are used to the idea and everything has calmed down,Lucy,M,major,,
Lucy,Mr. Beebe,1189,1190,yes yes i knew you d understand yes of course to go to constantinople until they are used to the idea and everything has calmed down,i am afraid it has been a bothersome business,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1190,1191,i am afraid it has been a bothersome business,no not at all cecil was very kind indeed only i had better tell you the whole truth since you have heard a little it was that he is so masterful i found that he wouldn t let me go my own way he would improve me in places where i can t be improved cecil won t let a woman decide for herself in fact he daren t what nonsense i do talk but that is the kind of thing,Lucy,M,major,,
Lucy,Mr. Beebe,1191,1192,no not at all cecil was very kind indeed only i had better tell you the whole truth since you have heard a little it was that he is so masterful i found that he wouldn t let me go my own way he would improve me in places where i can t be improved cecil won t let a woman decide for herself in fact he daren t what nonsense i do talk but that is the kind of thing,it is what i gathered from my own observation of mr vyse it is what i gather from all that i have known of you i do sympathize and agree most profoundly i agree so much that you must let me make one little criticism is it worth while rushing off to greece,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,1192,1193,it is what i gathered from my own observation of mr vyse it is what i gather from all that i have known of you i do sympathize and agree most profoundly i agree so much that you must let me make one little criticism is it worth while rushing off to greece,but i must go somewhere i have been worrying all the morning and here comes the very thing i must and the time i shall have with mother and all the money she spent on me last spring you all think much too highly of me i wish you weren t so kind,Lucy,M,major,,
Lucy,Mr. Beebe,1194,1195,i must get away ever so far i must know my own mind and where i want to go,come along tea tea tea,Miss Bartlett; Mr. Beebe,,,M,major
Mr. Beebe,Miss Bartlett,1196,1197,she is playing again,lucy can always play,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1197,1198,lucy can always play,one is very thankful that she has such a resource she is evidently much worried as of course she ought to be i know all about it the marriage was so near that it must have been a hard struggle before she could wind herself up to speak,Mr. Beebe,F,major,M,major
Miss Bartlett,Mr. Beebe,1200,1201,we had much better let the matter drop,i wonder,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1201,1202,i wonder,it is of the highest importance that there should be no gossip in summer street it would be death to gossip about mr vyse s dismissal at the present moment,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1202,1203,it is of the highest importance that there should be no gossip in summer street it would be death to gossip about mr vyse s dismissal at the present moment,of course miss honeychurch will make the fact public in her own way and when she chooses freddy only told me because he knew she would not mind,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1203,1204,of course miss honeychurch will make the fact public in her own way and when she chooses freddy only told me because he knew she would not mind,i know yet freddy ought not to have told even you one cannot be too careful,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1204,1205,i know yet freddy ought not to have told even you one cannot be too careful,quite so,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1205,1206,quite so,i do implore absolute secrecy a chance word to a chattering friend and,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1206,1207,i do implore absolute secrecy a chance word to a chattering friend and,exactly have you heard from any bertolini people lately i believe you keep up with miss lavish it is odd how we of that pension who seemed such a fortuitous collection have been working into one another s lives two three four six of us no eight i had forgotten the emersons have kept more or less in touch we must really give the signora a testimonial we shan t have rain but we shall have darkness so let us hurry on the darkness last night was appalling i have been thinking miss bartlett and unless you very much object i would like to reopen that discussion nothing about the past i know little and care less about that i am absolutely certain that it is to your cousin s credit she has acted loftily and rightly and it is like her gentle modesty to say that we think too highly of her but the future seriously what do you think of this greek plan i don t know whether you overheard but she wants to join the miss alans in their mad career it s all i can t explain it s wrong i can t see the point of it myself,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1207,1208,exactly have you heard from any bertolini people lately i believe you keep up with miss lavish it is odd how we of that pension who seemed such a fortuitous collection have been working into one another s lives two three four six of us no eight i had forgotten the emersons have kept more or less in touch we must really give the signora a testimonial we shan t have rain but we shall have darkness so let us hurry on the darkness last night was appalling i have been thinking miss bartlett and unless you very much object i would like to reopen that discussion nothing about the past i know little and care less about that i am absolutely certain that it is to your cousin s credit she has acted loftily and rightly and it is like her gentle modesty to say that we think too highly of her but the future seriously what do you think of this greek plan i don t know whether you overheard but she wants to join the miss alans in their mad career it s all i can t explain it s wrong i can t see the point of it myself,there i cannot agree with you in it i spy lucy s salvation,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1208,1209,there i cannot agree with you in it i spy lucy s salvation,really now why,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1209,1210,really now why,she wanted to leave windy corner,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1210,1211,she wanted to leave windy corner,i know but it seems so odd so unlike her so i was going to say selfish,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1211,1212,i know but it seems so odd so unlike her so i was going to say selfish,it is natural surely after such painful scenes that she should desire a change,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1212,1213,it is natural surely after such painful scenes that she should desire a change,so she says herself and since another lady agrees with her i must own that i am partially convinced perhaps she must have a change i have no sisters or and i don t understand these things but why need she go as far as greece,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1213,1214,so she says herself and since another lady agrees with her i must own that i am partially convinced perhaps she must have a change i have no sisters or and i don t understand these things but why need she go as far as greece,you may well ask that why greece what is it minnie dear jam why not tunbridge wells oh mr beebe i had a long and most unsatisfactory interview with dear lucy this morning i cannot help her i will say no more perhaps i have already said too much i am not to talk i wanted her to spend six months with me at tunbridge wells and she refused,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1215,1216,but my feelings are of no importance i know too well that i get on lucy s nerves our tour was a failure she wanted to leave florence and when we got to rome she did not want to be in rome and all the time i felt that i was spending her mother s money,let us keep to the future though i want your advice,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1216,1217,let us keep to the future though i want your advice,very well i for one will help her to go to greece will you it is absolutely necessary i know i know she must not stop here a moment and we must keep quiet till she goes i trust that the servants know nothing afterwards but i may have said too much already only lucy and i are helpless against mrs honeychurch alone if you help we may succeed otherwise,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1217,1218,very well i for one will help her to go to greece will you it is absolutely necessary i know i know she must not stop here a moment and we must keep quiet till she goes i trust that the servants know nothing afterwards but i may have said too much already only lucy and i are helpless against mrs honeychurch alone if you help we may succeed otherwise,otherwise,Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,1218,1219,otherwise,otherwise,Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,1219,1220,otherwise,yes i will help her come let us go back now and settle the whole thing up,Mr. Beebe,F,major,M,major
Mrs. Honeychurch,Mr. Beebe,1222,1223,it gets too dark this comes of putting off we might have known the weather would break up soon and now lucy wants to go to greece i don t know what the world s coming to,mrs honeychurch go to greece she must come up to the house and let s talk it over do you in the first place mind her breaking with vyse,Freddy; Mr. Beebe,F,major,M,major
Mr. Beebe,Mrs. Honeychurch,1223,1224,mrs honeychurch go to greece she must come up to the house and let s talk it over do you in the first place mind her breaking with vyse,mr beebe i m thankful simply thankful,Freddy; Mrs. Honeychurch,M,major,F,major
Mrs. Honeychurch,Freddy,1224,1225,mr beebe i m thankful simply thankful,so am i,Freddy; Mr. Beebe,F,major,M,intermediate
Freddy,Mr. Beebe,1225,1226,so am i,good now come up to the house,Mr. Beebe; Mrs. Honeychurch,M,intermediate,M,major
Mr. Beebe,Mrs. Honeychurch,1226,1227,good now come up to the house,i don t see why greece is necessary but as you do i suppose it is all right it must be something i can t understand lucy let s tell her lucy,Freddy; Mrs. Honeychurch,M,major,F,major
Mrs. Honeychurch,Mr. Beebe,1227,1228,i don t see why greece is necessary but as you do i suppose it is all right it must be something i can t understand lucy let s tell her lucy,she is playing the piano i didn t know that miss honeychurch sang too,Mr. Beebe,F,major,M,major
Mr. Beebe,Mrs. Honeychurch,1228,1229,she is playing the piano i didn t know that miss honeychurch sang too,it s a song that cecil gave her how odd girls are,Mrs. Honeychurch,M,major,F,major
Mrs. Honeychurch,Lucy,1231,1232,all right dear i am sorry i was so cross about greece but it came on the top of the dahlias,thank you mother that doesn t matter a bit,Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,1232,1233,thank you mother that doesn t matter a bit,and you are right too greece will be all right you can go if the miss alans will have you,Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1233,1234,and you are right too greece will be all right you can go if the miss alans will have you,oh splendid oh thank you,Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,1234,1235,oh splendid oh thank you,here s mr beebe,Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1235,1236,here s mr beebe,mr beebe knows my rude ways,Freddy; Lucy; Mr. Beebe,F,major,,
Lucy,Mr. Beebe,1236,1237,mr beebe knows my rude ways,it s a beautiful song and a wise one go on,Freddy; Mr. Beebe; Mrs. Honeychurch,,,M,major
Mr. Beebe,Lucy,1237,1238,it s a beautiful song and a wise one go on,it isn t very good i forget why harmony or something,Freddy; Lucy; Mrs. Honeychurch,M,major,,
Lucy,Mr. Beebe,1238,1239,it isn t very good i forget why harmony or something,i suspected it was unscholarly it s so beautiful,Freddy; Mr. Beebe; Mrs. Honeychurch,,,M,major
Mr. Beebe,Freddy,1239,1240,i suspected it was unscholarly it s so beautiful,the tune s right enough but the words are rotten why throw up the sponge,Freddy; Lucy; Mrs. Honeychurch,M,major,M,intermediate
